164,setresuid,syscall_setresuid, 
165,getresuid,syscall_getresuid, 
166,vm86,syscall_vm86, 
167,query_module,syscall_query_module, 
168,poll,syscall_poll, 
169,nfsservctl,syscall_nfsservctl, 
170,setresgid,syscall_setresgid, 
171,getresgid,syscall_getresgid, 
172,prctl,syscall_prctl, 
173,rt_sigreturn,syscall_rt_sigreturn, 
174,rt_sigaction,syscall_rt_sigaction, 
175,rt_sigprocmask,syscall_rt_sigprocmask, 
176,rt_sigpending,syscall_rt_sigpending, 
177,rt_sigtimedwait,syscall_rt_sigtimedwait, 
178,rt_sigqueueinfo,syscall_rt_sigqueueinfo, 
179,rt_sigsuspend,syscall_rt_sigsuspend, 
180,pread64,syscall_pread64, 
181,pwrite64,syscall_pwrite64, 
182,chown,syscall_chown, 
183,getcwd,syscall_getcwd, 
184,capget,syscall_capget, 
185,capset,syscall_capset, 
186,sigaltstack,syscall_sigaltstack, 
187,sendfile,syscall_sendfile, 
188,getpmsg,syscall_getpmsg, 
189,putpmsg,syscall_putpmsg, 
190,vfork,syscall_vfork, 
191,ugetrlimit,syscall_ugetrlimit, 
192,mmap2,syscall_mmap2, 
193,truncate64,syscall_truncate64, 
194,ftruncate64,syscall_ftruncate64, 
195,stat64,syscall_stat64, 
196,lstat64,syscall_lstat64, 
197,fstat64,syscall_fstat64, 
198,lchown32,syscall_lchown32, 
199,getuid32,syscall_getuid32, 
200,getgid32,syscall_getgid32, 
201,geteuid32,syscall_geteuid32, 
202,getegid32,syscall_getegid32, 
203,setreuid32,syscall_setreuid32, 
204,setregid32,syscall_setregid32, 
205,getgroups32,syscall_getgroups32, 
206,setgroups32,syscall_setgroups32, 
207,fchown32,syscall_fchown32, 
208,setresuid32,syscall_setresuid32, 
209,getresuid32,syscall_getresuid32, 
210,setresgid32,syscall_setresgid32, 
211,getresgid32,syscall_getresgid32, 
212,chown32,syscall_chown32, 
213,setuid32,syscall_setuid32, 
214,setgid32,syscall_setgid32, 
215,setfsuid32,syscall_setfsuid32, 
216,setfsgid32,syscall_setfsgid32, 
217,pivot_root,syscall_pivot_root, 
218,mincore,syscall_mincore, 
219,madvise,syscall_madvise, 
220,getdents64,syscall_getdents64, 
221,fcntl64,syscall_fcntl64, 
222,gettid,syscall_gettid, 
223,readahead,syscall_readahead, 
224,setxattr,syscall_setxattr, 
225,lsetxattr,syscall_lsetxattr, 
226,fsetxattr,syscall_fsetxattr, 
227,getxattr,syscall_getxattr, 
228,lgetxattr,syscall_lgetxattr, 
229,fgetxattr,syscall_fgetxattr, 
230,listxattr,syscall_listxattr, 
231,llistxattr,syscall_llistxattr, 
232,flistxattr,syscall_flistxattr, 
233,removexattr,syscall_removexattr, 
234,lremovexattr,syscall_lremovexattr, 
235,fremovexattr,syscall_fremovexattr, 
236,tkill,syscall_tkill, 
237,sendfile64,syscall_sendfile64, 
238,futex,syscall_futex, 
239,sched_setaffinity,syscall_sched_setaffinity, 
240,sched_getaffinity,syscall_sched_getaffinity, 
241,set_thread_area,syscall_set_thread_area, 
242,get_thread_area,syscall_get_thread_area, 
243,io_setup,syscall_io_setup, 
244,io_destroy,syscall_io_destroy, 
245,io_getevents,syscall_io_getevents, 
246,io_submit,syscall_io_submit, 
247,io_cancel,syscall_io_cancel, 
248,fadvise64,syscall_fadvise64, 
249,exit_group,syscall_exit_group, 
250,lookup_dcookie,syscall_lookup_dcookie, 
251,epoll_create,syscall_epoll_create, 
252,epoll_ctl,syscall_epoll_ctl, 
253,epoll_wait,syscall_epoll_wait, 
254,remap_file_pages,syscall_remap_file_pages, 
255,set_tid_address,syscall_set_tid_address, 
256,timer_create,syscall_timer_create, 
257,timer_settime,syscall_timer_settime, 
258,timer_gettime,syscall_timer_gettime, 
259,timer_getoverrun,syscall_timer_getoverrun, 
260,timer_delete,syscall_timer_delete, 
261,clock_settime,syscall_clock_settime, 
262,clock_gettime,syscall_clock_gettime, 
263,clock_getres,syscall_clock_getres, 
264,clock_nanosleep,syscall_clock_nanosleep, 
265,statfs64,syscall_statfs64, 
266,fstatfs64,syscall_fstatfs64, 
267,tgkill,syscall_tgkill, 
268,utimes,syscall_utimes, 
269,fadvise64_64,syscall_fadvise64_64, 
270,vserver,syscall_vserver, 
271,mbind,syscall_mbind, 
272,get_mempolicy,syscall_get_mempolicy, 
273,set_mempolicy,syscall_set_mempolicy, 
274,mq_open,syscall_mq_open, 
275,mq_unlink,syscall_mq_unlink, 
276,mq_timedsend,syscall_mq_timedsend, 
277,mq_timedreceive,syscall_mq_timedreceive, 
278,mq_notify,syscall_mq_notify, 
279,mq_getsetattr,syscall_mq_getsetattr, 
280,kexec_load,syscall_kexec_load, 
281,waitid,syscall_waitid, 
282,add_key,syscall_add_key, 
283,request_key,syscall_request_key, 
284,keyctl,syscall_keyctl, 
285,ioprio_set,syscall_ioprio_set, 
286,ioprio_get,syscall_ioprio_get, 
287,inotify_init,syscall_inotify_init, 
288,inotify_add_watch,syscall_inotify_add_watch, 
289,inotify_rm_watch,syscall_inotify_rm_watch, 
290,migrate_pages,syscall_migrate_pages, 
291,openat,syscall_openat, 
292,mkdirat,syscall_mkdirat, 
293,mknodat,syscall_mknodat, 
294,fchownat,syscall_fchownat, 
295,futimesat,syscall_futimesat, 
296,fstatat64,syscall_fstatat64, 
297,unlinkat,syscall_unlinkat, 
298,renameat,syscall_renameat, 
299,linkat,syscall_linkat, 
300,symlinkat,syscall_symlinkat, 
301,readlinkat,syscall_readlinkat, 
302,fchmodat,syscall_fchmodat, 
303,faccessat,syscall_faccessat, 
304,pselect6,syscall_pselect6, 
305,ppoll,syscall_ppoll, 
306,unshare,syscall_unshare, 
307,set_robust_list,syscall_set_robust_list, 
308,get_robust_list,syscall_get_robust_list, 
309,splice,syscall_splice, 
310,sync_file_range,syscall_sync_file_range, 
311,tee,syscall_tee, 
312,vmsplice,syscall_vmsplice, 
